episode,seed_file,winner,plies
1,seed_turn1_01.json,iran,173
2,seed_turn1_02.json,israel,162
3,seed_turn1_03.json,israel,129
4,seed_turn1_04.json,israel,128
5,seed_turn1_05.json,israel,145
6,seed_turn1_06.json,israel,90
7,seed_turn1_07.json,israel,118
8,seed_turn1_08.json,israel,150
9,seed_turn1_09.json,iran,184
10,seed_turn1_10.json,israel,37
11,seed_turn1_11.json,israel,104
12,seed_turn1_12.json,iran,163
13,seed_turn1_13.json,iran,166
14,seed_turn1_14.json,israel,74
15,seed_turn1_15.json,israel,172
16,seed_turn1_16.json,israel,114
17,seed_turn1_17.json,israel,76
18,seed_turn1_18.json,israel,124
19,seed_turn1_19.json,israel,63
20,seed_turn1_20.json,israel,133
21,seed_turn1_21.json,iran,162
22,seed_turn1_22.json,israel,167
23,seed_turn1_23.json,iran,176
24,seed_turn1_24.json,israel,147
25,seed_turn1_25.json,israel,128
